"sh688079"    "美迪凯"
"sh688023"    "安恒信息"
"sh688019"    "安集科技"
"sh603258"    "电魂网络"
"sh600694"    "大商股份"
"sh603267"    "鸿远电子"
"sh600262"    "北方股份"
"sh603506"    "南都物业"
"sh688035"    "德邦科技"
"sh688677"    "海泰新光"
"sh688080"    "映翰通"
"sh688173"    "希荻微"
"sh688202"    "美迪西"
"sh603156"    "养元饮品"
"sh600729"    "重庆百货"
"sh603848"    "好太太"
"sh603976"    "正川股份"
"sh600865"    "百大集团"
"sh600774"    "汉商集团"
"sh688270"    "臻镭科技"
"sh605118"    "力鼎光电"
"sh605168"    "三人行"
"sh688057"    "金达莱"
"sh688236"    "春立医疗"
"sh688066"    "航天宏图"
"sh601799"    "星宇股份"
"sh688626"    "翔宇医疗"
"sh603237"    "五芳斋"
"sh605277"    "新亚电子"
"sh603203"    "快克股份"
"sh688368"    "晶丰明源"
"sh688639"    "华恒生物"
"sh603826"    "坤彩科技"
"sh688636"    "智明达"
"sh688191"    "智洋创新"
"sh603838"    "四通股份"
"sh688239"    "航宇科技"
"sh688199"    "久日新材"
"sh601595"    "上海电影"
"sh688075"    "安旭生物"
"sh688219"    "会通股份"
"sh688225"    "亚信安全"
"sh605128"    "上海沿浦"
"sh688184"    "帕瓦股份"
"sh688618"    "三旺通信"
"sh600768"    "宁波富邦"
"sh688668"    "鼎通科技"
"sh688585"    "上纬新材"
"sh688322"    "奥比中光"
"sh605116"    "奥锐特"
"sh600593"    "大连圣亚"
"sh603500"    "祥和实业"
"sh603096"    "新经典"
"sh603580"    "艾艾精工"
"sh603773"    "沃格光电"
"sh603607"    "京华激光"
"sh603037"    "凯众股份"
